title,genre,releaseyear,language
The Shawshank Redemption,drama,1994,english
The Godfather,crime,1972,english
Pulp Fiction,crime,1994,english
The Dark Knight,action,2008,english
Schindler's List,drama,1993,english
The Lord of the Rings: The Return of the King,fantasy,2003,english
Forrest Gump,drama,1994,english
Inception,sci-fi,2010,english
The Matrix,sci-fi,1999,english
Fight Club,drama,1999,english
The Empire Strikes Back,sci-fi,1980,english
The Green Mile,drama,1999,english
The Godfather: Part II,crime,1974,english
Gladiator,action,2000,english
The Lord of the Rings: The Fellowship of the Ring,fantasy,2001,english
The Lion King,animation,1994,english
The Dark Knight Rises,action,2012,english
The Silence of the Lambs,thriller,1991,english
The Incredibles,animation,2004,english
American Beauty,drama,1999,english
The Sixth Sense,thriller,1999,english
The Lord of the Rings: The Two Towers,fantasy,2002,english
The Avengers,action,2012,english
Saving Private Ryan,action,1998,english
Jurassic Park,sci-fi,1993,english
Titanic,drama,1997,english
Avatar,sci-fi,2009,english
The Matrix Reloaded,sci-fi,2003,english
The Exorcist,horror,1973,english
E.T. the Extra-Terrestrial,sci-fi,1982,english
Interstellar,sci-fi,2014,english
The Terminator,sci-fi,1984,english
King Kong,adventure,2005,english
Gone with the Wind,drama,1939,english
Casablanca,drama,1942,english
The Revenant,adventure,2015,english
Gravity,sci-fi,2013,english
Jaws,adventure,1975,english
Rocky,drama,1976,english
Die Hard,action,1988,english
The Sound of Music,musical,1965,english
Star Wars: The Force Awakens,sci-fi,2015,english
Mad Max: Fury Road,action,2015,english
The Princess Bride,adventure,1987,english
Dilwale Dulhania Le Jayenge,romance,1995,hindi
Sholay,action,1975,hindi
Baahubali: The Beginning,action,2015,telugu
Rang De Basanti,drama,2006,hindi
Lagaan,drama,2001,hindi
3 Idiots,comedy,2009,hindi
Kabhi Khushi Kabhie Gham,drama,2001,hindi
KGF: Chapter 1,action,2018,kannada
Bahubali 2: The Conclusion,action,2017,telugu
Dangal,sports,2016,hindi
Baahubali 2: The Conclusion,action,2017,telugu
Drishyam,crime,2015,malayalam
Padmaavat,drama,2018,hindi
Pari,horror,2018,hindi
Krrish,action,2006,hindi
Premam,romance,2015,malayalam
Mersal,action,2017,tamil
Sairat,drama,2016,marathi
Petta,action,2019,tamil
Vikram Vedha,crime,2017,tamil
Kabali,action,2016,tamil
Lucia,drama,2013,kannada
Charlie,drama,2015,malayalam
Ratsasan,thriller,2018,tamil
Raja Rani,romance,2013,tamil
Bangalore Days,drama,2014,malayalam
Lucifer,action,2019,malayalam
KGF: Chapter 2,action,2021,kannada
Baahubali: The Conclusion,action,2017,telugu
Dil Chahta Hai,drama,2001,hindi
Super 30,drama,2019,hindi
Ustad Hotel,drama,2012,malayalam
Uppi 2,action,2015,kannada
Vikramarkudu,action,2006,telugu
Jabariya Jodi,comedy,2019,hindi
Ratchasan,thriller,2018,tamil
Soorarai Pottru,drama,2020,tamil
Queen,comedy,2014,hindi
Neram,thriller,2013,malayalam
96,romance,2018,tamil
Rangasthalam,action,2018,telugu
Kappela,romance,2020,malayalam
Thappad,drama,2020,hindi
Baahubali: Before the Beginning,action,2022,telugu
Gully Boy,drama,2019,hindi
Kaithi,action,2019,tamil
Vada Chennai,action,2018,tamil
Kaabil,action,2017,hindi
Mahanati,drama,2018,telugu
Nanban,comedy,2012,tamil
Aruvi,drama,2016,tamil
Jersey,drama,2019,telugu
Raazi,thriller,2018,hindi
Theri,action,2016,tamil
Thadam,thriller,2019,tamil
Geetha Govindam,romance,2018,telugu
Pariyerum Perumal,drama,2018,tamil
Peranbu,drama,2018,tamil
Asuran,action,2019,tamil
